,A,GltR-II
set100IT011,-0.5723036921632368,0.103
set100IT012,-0.715513682056708,0.304
set100IT013,-1.0379145765178666,0.033
set100IT014,-0.4329424174391624,0.03
set100IT015,-0.4795241562301941,0.053
set100IT016,-0.6549117826092501,-0.257
set100IT017,-0.62881740130317,0.172
set100IT018,-0.6966627594913081,0.393
set100IT019,-0.6751945163201178,0.318
set100IT020,-0.7177589962932248,0.099
set100IT021,-0.357498380696079,0.105
set100IT022,-0.5281551008445896,0.112
set100IT023,-0.9806738054598968,-0.234
set100IT024,-0.5575862941492993,-0.119
set100IT025,-0.7582145199260973,0.045
set100IT026,-1.381801266596508,-0.105
set100IT027,-1.3679568176408607,-0.198
set100IT028,-1.2103944781220188,-0.306
set100IT029,-0.7926524713575496,0.188
set100IT030,-0.550071853860858,0.186
set100IT031,-0.8299426055314723,0.262
set100IT032,-0.7719710337434216,0.111
set100IT033,-0.3693853366741484,-0.108
set100IT034,-0.7532839455723864,-0.126
set100IT035,-0.9423272343067912,0.009
set100IT036,-0.4315628070837896,0.125
set100IT037,-0.948849464024365,-0.168
set100IT038,-0.8426614808079554,-0.735
set100IT039,-1.0886093127634175,-0.097
set100IT040,-0.6971313958458117,-0.275
set100IT041,-0.6065673779054617,0.216
set100IT042,-0.314669889014475,0.352
set100IT043,-0.6179767730351001,0.211
set100IT044,-2.0718085296098114,-0.782
set100IT045,-1.8427388544079009,-1.046
set100IT046,-2.3919792704847644,-1.235
set101IT007,-0.9004858980894954,-0.131
set101IT008,-0.7196063798498439,0.182
set101IT009,-0.4024858070454229,0.172
set101IT013,-0.6552464278884593,-0.175
set101IT014,-1.2828150919206205,0.091
set101IT015,-0.0600140000641292,-0.002
set101IT016,-1.0676361751368453,0.037
set101IT017,-0.2684032397533392,0.15
set101IT018,-0.1049945870653205,0.075
set101IT019,-0.7627120882751108,-0.176
set101IT020,-0.1589497989962548,0.084
set101IT021,-0.4168862034129446,0.295
set101IT022,-0.5828042591614339,0.04
set101IT023,-0.4690267898282163,0.04
set101IT024,0.0164850096547338,0.064
set101IT025,-0.5950531670031072,-0.184
set101IT026,-0.5795968900093486,0.03
set101IT027,-0.2955495277747879,-0.23
set101IT028,-0.876440851001535,0.185
set101IT029,-0.8605544673706471,-0.029
set101IT030,-0.0604136343637556,-0.019
set101IT031,-0.9368353184526552,-0.092
set101IT032,-0.2179535865348282,-0.057
set101IT033,-0.4538866555557404,-0.08
set101IT034,-0.8319889060640234,0.131
set101IT035,-0.2981332443118072,0.011
set101IT036,-0.704763275652628,-0.01
set101IT037,-1.2490428688898518,-0.247
set101IT038,-0.7201633388543277,-0.119
set101IT039,-0.8124759987235355,-0.149
set101IT040,-1.5761670392828049,-0.07
set101IT041,-0.2212352367213407,0.21
set101IT042,-0.7369079713371027,-0.029
set101IT043,-0.9863785263465128,0.312
set101IT044,-0.3499894415313201,0.58
set101IT045,-0.2750737592731505,0.466
set101IT046,0.002385477098871,0.3
set101IT047,0.2425950974062997,0.405
set101IT048,0.3168497049461983,0.452
