,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
97,set16__1-Pentanol carbon source,0.3135,0.28637824638055176,2.0,144.0,0.111,145.0,0.516,,,,
98,set16__Ethanol carbon source,0.161,0.1074802307403552,2.0,146.0,0.085,147.0,0.237,,,,
99,set27__Ammonium chloride nitrogen source,-0.1455,0.4914392129246506,2.0,148.0,-0.493,149.0,0.202,,,,
100,set27__6-aminocaproic acid nitrogen source,0.033,0.0862670273047588,2.0,150.0,-0.028,151.0,0.094,,,,
101,set27__Urea nitrogen source,0.233,0.059396969619670004,2.0,152.0,0.275,153.0,0.191,,,,
102,set27__Sodium nitrite nitrogen source,-0.017,0.3012274887854693,2.0,154.0,0.196,155.0,-0.23,,,,
103,set27__Valerolactam nitrogen source,-0.020000000000000004,0.22768838354206827,2.0,156.0,0.141,157.0,-0.181,,,,
104,set27__4-aminobutyric acid nitrogen source,-0.0675,0.16899852070358484,2.0,158.0,-0.187,159.0,0.052,,,,
105,set27__Sodium nitrate nitrogen source,0.158,0.15697770542341358,2.0,160.0,0.269,161.0,0.047,,,,
106,set27__5-Aminovaleric acid nitrogen source,0.07550000000000001,0.2793071785686863,2.0,162.0,0.273,163.0,-0.122,,,,
107,set27__Caprolactam nitrogen source,-0.1005,0.17041273426595796,2.0,164.0,-0.221,165.0,0.02,,,,
108,set27__Hydantoin nitrogen source,-0.40700000000000003,0.3535533905932738,2.0,166.0,-0.657,167.0,-0.157,,,,
109,set27__DL-2-Aminobutyric acid nitrogen source,0.5125000000000001,0.23970919882223962,2.0,168.0,0.682,169.0,0.343,,,,
110,set27__3-aminobutyric acid nitrogen source,-0.139,0.1753624817342638,2.0,170.0,-0.263,171.0,-0.015,,,,
111,set27__D-Lysine nitrogen source,0.356,0.036769552621700466,2.0,172.0,0.33,173.0,0.382,,,,
112,set27__D-Alanine nitrogen source,-0.227,0.0608111831820431,2.0,174.0,-0.184,175.0,-0.27,,,,
113,set27__L-Arginine nitrogen source,-0.302,0.2573868683519033,2.0,176.0,-0.484,177.0,-0.12,,,,
114,set27__L-Aspartate nitrogen source,-0.076,0.07071067811865477,2.0,178.0,-0.026,179.0,-0.126,,,,
115,set27__Beta-alanine nitrogen source,0.20950000000000002,0.17606958851545035,2.0,180.0,0.085,181.0,0.334,,,,
116,set27__L-Ornithine nitrogen source,-0.00949999999999998,0.5777062402294093,2.0,182.0,-0.418,183.0,0.399,,,,
117,set27__L-Glutamine nitrogen source,0.013499999999999984,0.6781154031578992,2.0,184.0,0.493,185.0,-0.466,,,,
118,set27__L-Alanine nitrogen source,0.07599999999999998,0.5727564927611035,2.0,186.0,-0.329,187.0,0.481,,,,
119,set27__L-Cysteine nitrogen source,0.255,0.16122034611053285,2.0,188.0,0.369,189.0,0.141,,,,
120,set27__L-Lysine nitrogen source,0.08,0.19798989873223333,2.0,190.0,-0.06,191.0,0.22,,,,
121,set27__L-Asparagine nitrogen source,-0.048000000000000015,0.564271211386865,2.0,192.0,-0.447,193.0,0.351,,,,
122,set27__L-Proline nitrogen source,0.15150000000000002,0.17889801564019653,2.0,194.0,0.025,195.0,0.278,,,,
123,set27__Glycine nitrogen source,0.16749999999999998,0.16475588001646554,2.0,196.0,0.284,197.0,0.051,,,,
124,set27__L-Methionine nitrogen source,0.2305,0.3330472939388639,2.0,198.0,0.466,199.0,-0.005,,,,
125,set27__L-Valine nitrogen source,-0.2925,0.42214274836836885,2.0,200.0,0.006,201.0,-0.591,,,,
126,set27__L-Histidine nitrogen source,-0.1735,0.1831406563273158,2.0,202.0,-0.044,203.0,-0.303,,,,
127,set27__L-Phenylalanine nitrogen source,-0.5935,0.21142492757477768,2.0,204.0,-0.444,205.0,-0.743,,,,
128,set27__L-Isoleucine nitrogen source,-0.0335,0.012020815280171309,2.0,206.0,-0.025,207.0,-0.042,,,,
129,set27__L-Leucine nitrogen source,-0.393,0.39456558390209356,2.0,208.0,-0.672,209.0,-0.114,,,,
130,set27__L-Threonine nitrogen source,-0.03999999999999998,0.786302740679441,2.0,210.0,0.516,211.0,-0.596,,,,
131,set27__L-Serine nitrogen source,-0.2755,0.26657925650732844,2.0,212.0,-0.464,213.0,-0.087,,,,
132,set28__Ethanolamine nitrogen source,-0.0635,0.06434671708797582,2.0,214.0,-0.018,215.0,-0.109,,,,
133,set28__Choline chloride nitrogen source,-0.512,0.5190163773909259,2.0,216.0,-0.145,217.0,-0.879,,,,
134,set28__Carnitine Hydrochloride nitrogen source,-0.3815,0.1958685783886737,2.0,218.0,-0.52,219.0,-0.243,,,,
135,set28__Betaine nitrogen source,-0.0335,0.4730544366138003,2.0,220.0,-0.368,221.0,0.301,,,,
136,set28__Nicotinic Acid nitrogen source,-0.291,0.3988082245892128,2.0,222.0,-0.573,223.0,-0.009,,,,
137,set28__Butyrolactam nitrogen source,-0.2555,0.055861435713737244,2.0,224.0,-0.295,225.0,-0.216,,,,
138,set28__Cytosine nitrogen source,-0.11449999999999999,0.25809397513308985,2.0,226.0,0.068,227.0,-0.297,,,,
139,set28__4-Guanidinobutyric acid nitrogen source,0.068,0.01697056274847714,2.0,228.0,0.08,229.0,0.056,,,,
140,set28__spermidine nitrogen source,0.044,0.01131370849898476,2.0,230.0,0.052,231.0,0.036,,,,
141,"set28__1,6-Hexanediamine nitrogen source",-0.0925,0.027577164466275356,2.0,232.0,-0.073,233.0,-0.112,,,,
142,set28__Cadaverine nitrogen source,-0.1875,0.17889801564019653,2.0,234.0,-0.061,235.0,-0.314,,,,
143,set28__Uracil nitrogen source,0.102,0.3620386719675123,2.0,236.0,-0.154,237.0,0.358,,,,
144,set28__Adenine hydrochloride hydrate nitrogen source,-0.485,0.028284271247461888,2.0,238.0,-0.465,239.0,-0.505,,,,
145,set28__L-Pipecolic Acid nitrogen source,-0.6615,0.200111219075793,2.0,240.0,-0.803,241.0,-0.52,,,,
146,set28__L-pyroglutamic acid nitrogen source,-0.1605,0.40092954493277244,2.0,242.0,0.123,243.0,-0.444,,,,
147,set28__L-Glutamic acid monopotassium salt monohydrate nitrogen source,0.20500000000000002,0.3337544007200504,2.0,244.0,0.441,245.0,-0.031,,,,
148,set29__Propandiamine nitrogen source,0.10650000000000001,0.4179001076812496,2.0,246.0,0.402,247.0,-0.189,,,,
149,set29__Putrescine Dihydrochloride nitrogen source,0.022500000000000006,0.2538513344459706,2.0,248.0,0.202,249.0,-0.157,,,,
150,set29__DL-3-Aminoisobutyric acid nitrogen source,-0.7615,0.931259630822683,2.0,250.0,-0.103,251.0,-1.42,,,,
151,set29__D-Galacturonic Acid monohydrate carbon source,0.1145,0.21425335469952392,2.0,252.0,0.266,253.0,-0.037,,,,
152,set100__D-Glucose carbon source,0.37200000000000005,0.5066251079447208,3.0,254.0,0.744,255.0,-0.205,256.0,0.577,,
153,set100__D-Glucose carbon source with p-Coumaric acid stress,0.17466666666666666,0.25253184617654334,3.0,257.0,0.386,258.0,-0.105,259.0,0.243,,
154,set100__D-Glucose carbon source with Ferulic acid stress,-0.2583333333333333,0.2461307240742881,3.0,260.0,-0.067,261.0,-0.536,262.0,-0.172,,
155,set100__D-Glucose carbon source with 4-Hydroxybenzaldehyde stress,-0.03566666666666666,0.16384850726611253,3.0,263.0,-0.048,264.0,-0.193,265.0,0.134,,
156,set100__D-Glucose carbon source with 4-Hydroxybenzoic acid stress,-0.10133333333333333,0.057639685402796334,3.0,266.0,-0.036,267.0,-0.145,268.0,-0.123,,
