,A,FleQ
set27IT009,1.3413499541415206,0.564
set27IT010,-2.1021735005570497,0.798
set27IT011,-2.209383086252904,0.695
set27IT012,1.449305555202037,-0.092
set27IT013,1.6139530652595435,-0.041
set27IT014,1.3917210627527603,0.543
set27IT015,1.368196737669843,0.65
set27IT016,0.769835919781377,0.604
set27IT017,0.5856075799544044,0.641
set27IT018,1.2377709103299903,0.509
set27IT019,1.099969073021557,0.52
set27IT020,3.691766627757201,0.885
set27IT021,3.797088302289842,0.947
set27IT024,7.87528535415234,1.198
set27IT025,6.256569217952671,1.04
set27IT028,9.204222811344549,3.548
set27IT029,9.392309592008385,3.405
set27IT030,2.849189657375844,1.464
set27IT031,2.76651195756057,1.377
set27IT032,1.4428956081402464,0.361
set27IT033,2.010960115653864,0.33
set27IT034,1.2548358350144084,0.521
set27IT035,1.1405741215227856,0.538
set27IT036,0.3479887853845762,0.319
set27IT037,0.9020449375669576,0.312
set27IT038,1.0323908556256172,0.846
set27IT039,1.3193812611910565,0.934
set27IT040,3.544977443570305,0.971
set27IT041,3.442757977800132,0.912
set27IT042,-0.6237140448675802,0.069
set27IT043,0.0878738994779202,0.194
set27IT044,1.0304604380880091,0.46
set27IT045,1.1758435732876489,0.439
set27IT046,0.8066979703783521,0.543
set27IT047,0.7693642960794195,0.488
set27IT048,5.044498306536277,1.048
set27IT049,5.761997435058763,1.167
set27IT050,0.8945224119660226,0.498
set27IT051,0.2072992572365986,0.397
set27IT052,1.4637920834748686,0.513
set27IT053,1.3179912665997195,0.383
set27IT054,1.1509117197821168,0.244
set27IT055,0.6503449075295861,0.431
set27IT056,1.8879821914871115,0.23
set27IT057,1.5462708154482192,0.272
set27IT058,6.323626636999918,1.656
set27IT059,6.921485936037624,1.847
set27IT060,1.142928355656412,0.473
set27IT061,0.9179515424776972,0.365
set27IT062,0.8983052195841578,0.391
set27IT063,1.6022643689120728,0.32
set27IT064,6.967500113252741,1.149
set27IT065,6.911549433630495,1.177
set27IT066,0.5673478722582146,0.327
set27IT067,0.2378418023219313,0.322
set27IT068,2.714387722637484,1.161
set27IT069,3.568061541851913,2.504
set27IT070,3.1702021294439566,0.732
set27IT071,2.7507745553549774,0.746
set27IT072,0.3211139238672386,0.61
set27IT073,0.734070296354213,0.601
set28IT003,1.6002134685641685,0.269
set28IT004,1.8815193382860247,0.256
set28IT005,1.608269506438953,-0.092
set28IT006,1.8195640630386292,-0.071
set28IT007,3.5526726892530904,0.806
set28IT008,3.546299685904558,0.951
set28IT009,1.2614797369045765,-0.465
set28IT010,0.6772552264144514,-0.421
set28IT013,1.4258213438266407,0.418
set28IT014,1.4000115131339796,0.448
set28IT017,2.650186710610228,0.357
set28IT018,2.402276504825147,0.301
set28IT021,0.8976435215464417,0.437
