,condition,A_avg,A_std,n,rep1_idx,rep1_A,rep2_idx,rep2_A,rep3_idx,rep3_A,rep4_idx,rep4_A
78,set12__D-Glucose carbon source,-4.691722568970619,0.21015199653304992,2.0,94.0,-4.543122667142207,109.0,-4.8403224707990296,,,,
79,set12__L-Glutamic acid monopotassium salt monohydrate carbon source,-6.227007311438085,0.7148458172465714,2.0,95.0,-5.7215349865601945,110.0,-6.732479636315975,,,,
80,set12__Phenylacetic acid carbon source,-5.5770391777208825,1.9432692966108895,2.0,96.0,-4.20294028041571,111.0,-6.951138075026055,,,,
81,set15__Butyl stearate carbon source,-1.087216218681605,1.0687622121564835,2.0,112.0,-0.3314872109898199,124.0,-1.84294522637339,,,,
82,set15__Hexanoic acid carbon source,-0.8965603186866647,1.6114823820560458,2.0,113.0,-2.0360504388011456,125.0,0.242929801427816,,,,
83,set15__Decanoic acid carbon source,-1.4970678437126532,0.2150574765799273,2.0,114.0,-1.3449992436781195,126.0,-1.649136443747187,,,,
84,set15__Lauric acid carbon source,-2.596673295463263,0.14364524969256603,2.0,115.0,-2.495100765320415,127.0,-2.6982458256061115,,,,
85,set15__Valeric acid carbon source,-0.45301198800848347,0.8970700436926635,2.0,116.0,-1.0873362991028783,128.0,0.1813123230859114,,,,
86,set15__Octanoic acid carbon source,-1.6723115238500612,0.18343595022291528,2.0,117.0,-1.54260271953404,129.0,-1.8020203281660827,,,,
87,set15__Nonanoic acid carbon source,-1.4900154347946253,0.26238293076054575,2.0,118.0,-1.304482685186243,130.0,-1.6755481844030076,,,,
88,set15__Tween 20 carbon source,1.7872493764924482,0.549080918604858,2.0,119.0,2.175508217458082,131.0,1.3989905355268144,,,,
89,set15__Myristic acid carbon source,-2.9290097456825634,0.3319689034971594,2.0,120.0,-2.694272282876659,132.0,-3.1637472084884672,,,,
90,set15__Sodium butyrate carbon source,-1.1720235134699641,1.0899123043476262,2.0,121.0,-0.4013391321671014,133.0,-1.942707894772827,,,,
91,set15__Oleic acid carbon source,-2.4364468046719345,1.120382121048918,2.0,122.0,-3.228676599985792,134.0,-1.6442170093580772,,,,
