,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
125,set27__L-Valine nitrogen source,0.038,0.1626345596729059,2.0,200.0,-0.077,201.0,0.153,,,,
126,set27__L-Histidine nitrogen source,0.016500000000000015,0.42921381618023435,2.0,202.0,0.32,203.0,-0.287,,,,
127,set27__L-Phenylalanine nitrogen source,0.095,0.12869343417595164,2.0,204.0,0.004,205.0,0.186,,,,
128,set27__L-Isoleucine nitrogen source,0.251,0.01131370849898477,2.0,206.0,0.259,207.0,0.243,,,,
129,set27__L-Leucine nitrogen source,-0.033,0.10606601717798214,2.0,208.0,0.042,209.0,-0.108,,,,
130,set27__L-Threonine nitrogen source,-0.2595,0.013435028842544414,2.0,210.0,-0.25,211.0,-0.269,,,,
131,set27__L-Serine nitrogen source,0.06349999999999999,0.4164858941188765,2.0,212.0,-0.231,213.0,0.358,,,,
132,set28__Ethanolamine nitrogen source,0.019000000000000003,0.2093036072312181,2.0,214.0,-0.129,215.0,0.167,,,,
133,set28__Choline chloride nitrogen source,-0.2,0.3790092347159895,2.0,216.0,0.068,217.0,-0.468,,,,
134,set28__Carnitine Hydrochloride nitrogen source,0.0325,0.08838834764831845,2.0,218.0,-0.03,219.0,0.095,,,,
135,set28__Betaine nitrogen source,0.038500000000000006,0.7162991693419728,2.0,220.0,-0.468,221.0,0.545,,,,
136,set28__Nicotinic Acid nitrogen source,0.23349999999999999,0.08273149339882606,2.0,222.0,0.292,223.0,0.175,,,,
137,set28__Butyrolactam nitrogen source,0.0885,0.1322289680818844,2.0,224.0,0.182,225.0,-0.005,,,,
138,set28__Cytosine nitrogen source,0.151,0.15697770542341355,2.0,226.0,0.04,227.0,0.262,,,,
139,set28__4-Guanidinobutyric acid nitrogen source,0.271,0.11313708498984758,2.0,228.0,0.351,229.0,0.191,,,,
140,set28__spermidine nitrogen source,0.28300000000000003,0.13717871555019023,2.0,230.0,0.186,231.0,0.38,,,,
141,"set28__1,6-Hexanediamine nitrogen source",-0.2435,0.2793071785686863,2.0,232.0,-0.046,233.0,-0.441,,,,
142,set28__Cadaverine nitrogen source,-0.22449999999999998,0.1803122292025696,2.0,234.0,-0.352,235.0,-0.097,,,,
143,set28__Uracil nitrogen source,0.026000000000000002,0.07919595949289333,2.0,236.0,-0.03,237.0,0.082,,,,
144,set28__Adenine hydrochloride hydrate nitrogen source,0.033999999999999996,0.1994041122946064,2.0,238.0,0.175,239.0,-0.107,,,,
145,set28__L-Pipecolic Acid nitrogen source,0.0705,0.14495689014324223,2.0,240.0,-0.032,241.0,0.173,,,,
146,set28__L-pyroglutamic acid nitrogen source,-0.06,0.05232590180780452,2.0,242.0,-0.097,243.0,-0.023,,,,
147,set28__L-Glutamic acid monopotassium salt monohydrate nitrogen source,-0.052,0.055154328932550706,2.0,244.0,-0.013,245.0,-0.091,,,,
148,set29__Propandiamine nitrogen source,-0.511,0.3648670990922585,2.0,246.0,-0.769,247.0,-0.253,,,,
149,set29__Putrescine Dihydrochloride nitrogen source,-0.072,0.07495331880577404,2.0,248.0,-0.019,249.0,-0.125,,,,
150,set29__DL-3-Aminoisobutyric acid nitrogen source,0.2455,0.275064537881567,2.0,250.0,0.44,251.0,0.051,,,,
151,set29__D-Galacturonic Acid monohydrate carbon source,-0.20750000000000002,0.08838834764831846,2.0,252.0,-0.27,253.0,-0.145,,,,
152,set100__D-Glucose carbon source,-0.18366666666666667,0.2861718597859219,3.0,254.0,-0.148,255.0,-0.486,256.0,0.083,,
153,set100__D-Glucose carbon source with p-Coumaric acid stress,-0.21266666666666664,0.3586925331441029,3.0,257.0,-0.079,258.0,-0.619,259.0,0.06,,
154,set100__D-Glucose carbon source with Ferulic acid stress,-0.106,0.05211525688318154,3.0,260.0,-0.14,261.0,-0.046,262.0,-0.132,,
155,set100__D-Glucose carbon source with 4-Hydroxybenzaldehyde stress,-0.12733333333333333,0.16053140918005215,3.0,263.0,-0.307,264.0,-0.077,265.0,0.002,,
156,set100__D-Glucose carbon source with 4-Hydroxybenzoic acid stress,-0.07666666666666667,0.27175233822974426,3.0,266.0,-0.336,267.0,0.206,268.0,-0.1,,
157,set100__D-Glucose carbon source with Vanillin stress,0.057666666666666665,0.17824795463997148,3.0,269.0,0.013,270.0,-0.094,271.0,0.254,,
158,set100__D-Glucose carbon source with Vanillic acid stress,-0.21633333333333335,0.11208181535527223,3.0,272.0,-0.13,273.0,-0.343,274.0,-0.176,,
159,"set100__D-Glucose carbon source with cis,cis-muconate stress",-0.434,0.06946221994724902,3.0,275.0,-0.514,276.0,-0.389,277.0,-0.399,,
160,set100__D-Glucose carbon source with Sodium chloride stress,-0.3436666666666666,0.3535878014487113,3.0,278.0,-0.528,279.0,-0.567,280.0,0.064,,
161,set100__D-Glucose carbon source with Sodium sulfate stress,-0.16766666666666666,0.0643609612524031,3.0,281.0,-0.094,282.0,-0.213,283.0,-0.196,,
162,set100__D-Glucose carbon source with Acetic acid stress,0.26133333333333336,0.4160941399891776,3.0,284.0,-0.071,285.0,0.127,286.0,0.728,,
163,set100__D-Glucose carbon source with Lactic acid stress,-0.2015,0.09970205614730321,2.0,287.0,-0.272,289.0,-0.131,,,,
164,set100__D-Glucose carbon source with Lactic acide stress,-0.172,,1.0,288.0,-0.172,,,,,,
165,set100__D-Glucose carbon source with Glycolic acid stress,-0.051333333333333335,0.13893283749111773,3.0,290.0,-0.211,291.0,0.015,292.0,0.042,,
166,set101__D-Glucose carbon source,-0.17766666666666664,0.19907871140162958,3.0,293.0,-0.301,294.0,-0.284,295.0,0.052,,
167,set101__D-Glucose carbon source with Protecatechuic acid stress,-0.079,0.24355492193753753,3.0,296.0,-0.346,297.0,-0.022,298.0,0.131,,
168,"set101__D-Glucose carbon source with cis,cis-muconate stress",0.08700000000000001,0.49857296356701897,3.0,299.0,-0.268,300.0,-0.128,301.0,0.657,,
169,set101__Ferulic acid carbon source,-0.18233333333333332,0.03663786747797057,3.0,302.0,-0.186,303.0,-0.144,304.0,-0.217,,
170,set101__p-Coumaric acid carbon source,-0.17900000000000002,0.0713582510996451,3.0,305.0,-0.261,306.0,-0.145,307.0,-0.131,,
171,set101__10 mM vanillate carbon source,0.05066666666666667,0.21629917552624497,3.0,308.0,-0.178,309.0,0.078,310.0,0.252,,
172,set101__10 mM 4-acetoxyvanillate carbon source,0.12800000000000003,0.6223086051148577,3.0,311.0,-0.59,312.0,0.462,313.0,0.512,,
173,set101__10 mM 4-hydroxybenzoate carbon source,-0.1416666666666667,0.7212831159352986,3.0,314.0,-0.851,315.0,-0.165,316.0,0.591,,
174,set101__10 mM 4-acetoxybenzoate carbon source,0.06133333333333333,0.4300166663436818,3.0,317.0,-0.317,318.0,-0.028,319.0,0.529,,
175,set101__15 mM beta-hydroxyisobutanoate carbon source,0.07466666666666667,0.2315887159024233,3.0,320.0,-0.182,321.0,0.268,322.0,0.138,,
176,set101__15 mM 3-methyl-2-oxobutanoate carbon source,-0.05033333333333332,0.3190522423261328,3.0,323.0,-0.366,324.0,-0.057,325.0,0.272,,
177,set101__D-Glucose carbon source with ??-ketoadipate stress,-0.10133333333333334,0.32714268039088595,3.0,326.0,-0.008,327.0,-0.465,328.0,0.169,,
178,set101__D-Glucose carbon source with levulinic acid stress,-0.15466666666666665,0.4574902549053185,3.0,329.0,-0.65,330.0,-0.066,331.0,0.252,,
