,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X
51,set10__D-Glucose carbon source with 20AA_mix_minus_Ile,0.031,,1.0,66.0,0.031,,,,,,
52,set10__D-Glucose carbon source with 20AA_mix_minus_Leu,-0.056,,1.0,67.0,-0.056,,,,,,
53,set10__D-Glucose carbon source with 20AA_mix_minus_Lys,-0.065,,1.0,68.0,-0.065,,,,,,
54,set10__D-Glucose carbon source with 20AA_mix_minus_Met,0.117,,1.0,69.0,0.117,,,,,,
55,set10__D-Glucose carbon source with 20AA_mix_minus_Pro,0.09,,1.0,70.0,0.09,,,,,,
56,set10__D-Glucose carbon source with 20AA_mix_minus_Ser,0.058,,1.0,71.0,0.058,,,,,,
57,set10__D-Glucose carbon source with 20AA_mix_minus_Thr,0.119,,1.0,72.0,0.119,,,,,,
58,set10__D-Glucose carbon source with 20AA_mix_minus_Trp,0.127,,1.0,73.0,0.127,,,,,,
59,set10__D-Glucose carbon source with 20AA_mix_minus_Tyr,-0.078,,1.0,74.0,-0.078,,,,,,
60,set10__D-Glucose carbon source with 20AA_mix_minus_Val,0.092,,1.0,75.0,0.092,,,,,,
61,set10__D-Glucose carbon source with 20AA_mix,0.106,,1.0,76.0,0.106,,,,,,
62,set10__Sodium succinate dibasic hexahydrate carbon source,-0.027,,1.0,77.0,-0.027,,,,,,
63,set10__a-Ketoglutaric acid disodium salt hydrate carbon source,0.011,,1.0,78.0,0.011,,,,,,
64,set10__Sodium butyrate carbon source,-0.038,,1.0,79.0,-0.038,,,,,,
65,set12__Vanillin carbon source,-0.0285,0.0007071067811865482,2.0,80.0,-0.029,97.0,-0.028,,,,
66,"set12__1,2-Propanediol carbon source",0.0575,0.07424621202458749,2.0,81.0,0.11,98.0,0.005,,,,
67,set12__Sodium propionate carbon source,0.003000000000000001,0.04525483399593904,2.0,82.0,-0.029,99.0,0.035,,,,
68,set12__2-methyl-1-butanol carbon source,-0.015,0.0834386001800126,2.0,83.0,0.044,100.0,-0.074,,,,
69,"set12__1,5-Pentanediol carbon source",0.027,0.04666904755831214,2.0,84.0,0.06,101.0,-0.006,,,,
70,"set12__1,4-Butanediol carbon source",0.0295,0.13788582233137678,2.0,85.0,0.127,102.0,-0.068,,,,
